geoapify_place_id,name,address,postcode,borough,latitude,longitude,website,opening_hours,category
519b9ab84d8c36c0bf59e66aecb43dc14940f00102f9015f9c0409000000009203054e6f746573,Notes,"Notes, 31 St Martin's Lane, London, WC2N 4ER, United Kingdom",WC2N 4ER,,51.5096945,-0.1266682,https://notescoffee.com,"Mo-We 07:30-21:00; Th,Fr 07:30-22:00; Sa 09:00-22:00; Su 10:00-18:00",wheelchair.limited
511b0fb6d8edb3c0bf596823d74d29c14940f00103f9015c5ac78b0000000092031153616e6477686963682045787072657373,Sandwhich Express,"Sandwhich Express, 23 Whitcomb Street, London, WC2H 7EP, United Kingdom",WC2H 7EP,St. James's,51.509073,-0.130491,,Mo-Fr 07:00-16:30,catering.cafe
51e4bf40102043c0bf59c645ff1543c14940f00103f901557e50da0200000092031153742e2047656f726765204c6f6e646f6e,St. George London,"St. George London, 112 St Martin's Lane, London, WC2N 4ER, United Kingdom",WC2N 4ER,,51.5098598,-0.1270485,https://stgeorgecoffee.co.uk/,Tu-Fr 08:00-18:00; Sa-Su 09:00-18:00,catering.cafe
518ccfae8c576ac0bf59cba0dae044c14940f00103f901d9bfe4a00200000092030d506176696c696f6e2043616665,Pavilion Cafe,"Pavilion Cafe, 11a Charing Cross Road, London, WC2H 0EP, United Kingdom",WC2H 0EP,,51.5099145,-0.1282453,,,catering.cafe
51686a12bc218dbfbf59837cbf8701c14940f00102f901999b41040000000092030d476f72646f6e27732044656c69,Gordon's Deli,"Gordon's Deli, 49 Villiers Street, London, WC2N 6NE, United Kingdom",WC2N 6NE,,51.5078592,-0.1232473,,,vegetarian
510c5634eb3439c0bf592e53b0c447c14940f00102f901519c04090000000092030b43616666c3a8204e65726f,Caffè Nero,"Caffè Nero, 36A St Martin's Lane, London, WC2N 4ER, United Kingdom",WC2N 4ER,,51.5100049,-0.1267441,https://www.caffenero.com/uk/stores/st-martins-lane,Mo-Fr 07:00-20:30; Sa 07:30-20:30; Su 08:00-19:00,internet_access
51b0726891ed7cbfbf59b82462a5ddc04940f00103f901583ec9920200000092030d54686520477265656e20487574,The Green Hut,"The Green Hut, Northumberland Avenue, London, WC2N 5AQ, United Kingdom",WC2N 5AQ,,51.5067641,-0.123,,Mo-Sa 07:00-14:00; Su Off,catering.cafe
51b1a605cfdec5c0bf594214e00aaac04940f00102f9012b2855200000000092030f436f6c6963636920486f74646f6773,Colicci Hotdogs,"Colicci Hotdogs, The Mall, London, SW1Y 5AA, United Kingdom",SW1Y 5AA,St. James's,51.5051849,-0.1310387,,Mo-Su 09:00-19:00,catering.cafe
51bad518198975bfbf599e91add3edc04940f00103f901693fe32100000000920305436f737461,Costa,"Costa, Embankment Place, London, WC2N 5AQ, United Kingdom",WC2N 5AQ,,51.5072579,-0.1228872,,,wheelchair.yes
51b70254820f6fbfbf59363e93fdf3c04940f00103f901a52ba41100000000920309537461726275636b73,Starbucks,"Starbucks, Villiers Street, London, WC2N 6NS, United Kingdom",WC2N 6NS,,51.507446,-0.1227884,https://www.starbucks.com/store-locator/store/2609/embankment-1-3-villiers-street-london-eng-wc-2-n-6-nn-gb,,vegetarian
519a7cb3cd8de9c0bf59d2938d6214c14940f00103f901f06368270000000092031354686520426f726f7567682042617269737461,The Borough Barista,"The Borough Barista, 15 Charles II Street, London, SW1Y 4QU, United Kingdom",SW1Y 4QU,St. James's,51.5084346,-0.1321275,,,catering.cafe
51b37a87dba161bfbf59e551e053efc04940f00103f901573ec9920200000092030e426c756573202620526f79616c73,Blues & Royals,"Blues & Royals, Embankment Place, London, WC2N 6NS, United Kingdom",WC2N 6NS,,51.5073037,-0.1225835,,,catering.cafe.coffee_shop
513cdc0e0d8b51bfbf59b933130ce7c04940f00103f9016c44e32100000000920309537461726275636b73,Starbucks,"Starbucks, Golden Jubilee Bridge, London, WC2N 6NU, United Kingdom",WC2N 6NU,,51.507051,-0.122338,,,catering.cafe.coffee_shop
511d4eaac7c738c0bf59b6204a6a57c14940f00103f9017f52590a01000000920307456c6c616d6961,Ellamia,"Ellamia, St Martin's Lane, London, WC2N 4ER, United Kingdom",WC2N 4ER,,51.5104802,-0.1267328,,,catering.cafe
51dd9e7b6a508fc0bf592f07301b53c14940f00103f901953266cf02000000920305436f737461,Costa,"Costa, 22-24 Leicester Square, London, WC2H 7JY, United Kingdom",WC2H 7JY,St. James's,51.5103487,-0.1293736,,,catering.cafe.coffee_shop
51743ada82ef47bfbf59274ae768fac04940f00103f901326446d4020000009203074b6970706f2773,Kippo's,"Kippo's, Hungerford Bridge, London, WC2N 6PA, United Kingdom",WC2N 6PA,,51.5076419,-0.1221914,,,wheelchair.limited
